0,1,2,3,4,5,6,7,8,9,10,11,12,MWD,Mn,conv
-4.181062698,1.097806215,4.109479427,-0.922859311,1.481692314,2.690703392,6.063299179,-2.892809153,-4.679179192,-2.485502005,-4.568437576,-2.198278427,-0.4211573,4.308176372,11942.52051,0.388026303
-4.342936516,2.00188303,-0.869027138,-1.872718692,-0.278743386,6.784219265,5.738498211,-4.724881172,-4.116668701,-3.465735674,-2.265648842,-1.053386688,-0.6905424,1.23200933,342.3418579,0.151505089
-4.481787682,-0.460575581,1.635651469,-1.480955362,-0.253947496,4.763036728,1.579514027,-2.657025576,-2.829336166,-1.608696461,-3.986249447,-2.707678318,-0.144384027,2.033069029,8436.911133,0.699590324
-5.567139149,0.772824645,3.963217258,-1.747402191,-0.04215157,2.610107899,2.089884758,-2.658560991,-4.89457655,-1.984938622,-4.614635468,-1.395413756,0.715285778,3.39671808,13492.08398,1.000000006
-5.599642277,0.639187157,2.478895187,-1.074737787,0.50903511,1.064246535,2.390205145,-2.673638582,-4.329349518,-2.151607752,-4.395900249,-1.117430568,0.297116995,3.61899702,23892.3457,1.000000006
-4.153328896,-1.783500552,4.710451126,-1.532301426,-0.249392509,1.937023282,5.779753208,-2.807256699,-2.174363136,-2.73481226,-2.166110516,-2.181556702,0.825878024,2.993392657,12345.44238,0.913509792
-5.085734367,-0.805307269,0.817205429,1.209541321,0.675552845,4.954505444,3.99710393,-4.43351984,-3.740280867,-3.020390749,-4.04817009,-1.966107488,-0.210714817,1.945582152,1076.920654,0.058335221
-4.241789818,-1.062763691,0.310199946,-1.02148366,-1.990640044,1.988870382,1.359200835,-4.631813049,-3.456223488,-2.85496974,-2.13056159,-1.990267158,-0.073399544,3.211003589,16178.88965,0.986980325
-5.645287514,2.266433239,-0.104364574,-1.791670799,0.721515894,1.988337159,4.134160995,-2.948890209,-3.035713911,-2.766769648,-2.285405636,-1.21611774,-0.342074633,1.775755748,1386.740601,0.444208091
-5.431218624,-0.770979047,3.539573669,-1.716134071,-0.232596278,6.797152996,6.51241827,-2.343062639,-4.959599018,-1.245406389,-2.790998459,-1.784494519,-0.735726833,2.207988758,1981.484253,0.291797793
-4.486463547,-0.959288001,4.332870483,1.481525421,-0.305560589,4.849336624,3.419020414,-4.348556519,-1.494246721,-1.494096756,-4.963084221,-2.792058945,-0.700032234,1.418105004,564.6263428,0.004778719
-5.265523434,2.714547634,-1.653249145,1.819588661,-0.354249835,3.697757006,5.330531597,-2.616250515,-2.121212006,-2.132071257,-3.179027557,-2.940696001,0.335672617,2.59356866,21762.125,0.304348892
-4.023851395,0.532541037,2.990147591,-0.919684887,1.858303785,6.926671028,5.130394459,-3.561045408,-2.687549114,-2.110203028,-4.123402596,-2.476065397,-0.164153934,7.320698379,6861.657715,0.116744494
-4.707711697,1.887312293,1.371962547,1.690513372,-1.473140478,4.015262127,1.413942933,-2.506547689,-2.940738916,-3.276785851,-4.163835526,-2.866421938,0.803556204,2.809552019,19868.20313,0.393842494
-5.300550461,0.854297221,3.605006933,1.444893599,0.789808989,4.515352249,4.38350296,-3.964780092,-2.501829624,-3.359858513,-4.669796944,-2.669652462,0.700322986,5.505281501,23805.62891,0.266668713
-5.146678925,-1.591033459,3.0318892,1.344711065,0.908023119,1.899046898,2.303569555,-2.455257893,-3.704176664,-4.177342415,-4.162107944,-1.805327892,0.125799775,1.917691987,6261.988281,0.556875883
