0,1,2,3,4,5,6,7,8,9,10,11,12,MWD,Mn,conv
-5.90066433,2.683242559,-1.041760564,0.141160488,1.918412924,2.875577211,3.506874561,-2.201058865,-3.070031643,-3.029286146,-3.836608887,-2.214718342,0.869627953,1.531326482,19658.89453,0.325821614
-5.406503677,-0.738198221,2.347774267,-0.779841542,0.098672628,1.797301054,2.56545639,-4.172798634,-1.872151613,-4.736527443,-2.808252573,-1.955727458,-0.492772281,2.574546842,17573.81055,0.967235094
-5.681460381,1.785155892,-0.36668241,0.183597088,-1.127863646,3.228047848,3.127498865,-2.111331463,-4.175844669,-3.44829011,-3.473437548,-2.060395479,0.185087562,2.725730716,25808.33398,0.9414087
-5.840536594,4.931120872,3.181162357,0.653752565,-0.899719477,4.408415318,5.581131458,-3.459035397,-2.328177452,-1.167047977,-4.144604206,-2.958334923,-0.118745148,1.781669736,10421.50879,0.5041005
-4.241127014,-1.920186043,1.98314023,0.451708794,-0.035585999,2.052099466,3.119812965,-3.734268665,-4.997982502,-1.208640814,-3.480718851,-2.196492434,0.45757997,1.471541429,6040.967773,0.209905511
-4.921996117,4.298383236,1.539957523,-0.570121884,-0.461076498,6.685988426,1.103667736,-4.500136852,-3.517321825,-2.978451967,-3.933071136,-1.789593697,-0.439030528,2.83696081,30449.70508,1.000000006
-5.52110815,1.908776879,-0.777298152,-1.12915206,-1.70840776,1.483752966,3.151613474,-3.360965967,-2.912212133,-1.47693634,-4.187152863,-2.392431021,-0.981303155,1.611329197,9833.452148,0.976235932
-5.826393604,1.356978178,1.102067232,1.919412851,1.320235729,5.054877281,6.339349747,-4.327875614,-3.517724991,-3.087168217,-2.778412104,-1.567122698,0.12625742,4.509912163,4116.870117,0.344000703
-4.148670197,3.652630329,3.905581236,-0.793789983,-0.108811378,3.890889645,4.644015312,-4.617299557,-3.174610615,-3.907746315,-2.774241924,-1.262861133,-0.088505328,4.875649153,16894.90039,1.000000006
-5.070468426,2.382727146,2.88043642,-0.24026525,1.669910669,6.476549149,2.61961627,-3.405635834,-2.337841988,-1.167439699,-4.179801464,-2.887435436,-0.805626631,2.513589532,44186.75781,0.430305606
