0,1,2,3,4,5,6,7,8,9,10,11,12,MWD,Mn,conv
-6.454153538,2.907004356,4.913854599,0.868584871,-1.798363686,1.715278149,5.189471722,-2.206579685,-3.43182373,-4.005419731,-4.322989941,-2.66302681,0.338185549,2.646604244,34757.23438,0.730847484
-6.307526112,4.189246655,-1.587731123,0.889085054,-0.308849096,3.398808479,5.917726517,-2.075518847,-1.208776951,-4.575914383,-4.164546967,-1.64544189,-0.152146995,1.760591405,1484.650757,0.125079489
-6.336075783,4.474389076,-0.596851647,1.555759668,-1.593251705,5.817403793,5.623314857,-2.412531853,-4.031998158,-3.906368017,-3.703288078,-2.939082384,-0.337747395,1.910244595,8325.885742,0.039625502
-6.240757465,0.387163907,-1.935974002,1.04091382,-1.565703034,4.37515831,1.936241388,-3.293698788,-4.372451305,-1.094869137,-4.731138706,-1.288432002,0.949979544,2.176903683,4477.418945,0.933414823
-7.484734535,-1.34913218,-0.508492768,-1.561499596,-1.417560697,2.353979826,1.374270678,-3.585006952,-2.052757978,-4.432161808,-2.277291298,-2.980859756,-0.680487633,1.553968808,29720.47852,0.498830585
-6.754541874,4.082468987,0.749976993,0.643223047,-0.552732706,3.288875341,2.229896069,-2.806285381,-2.061843634,-2.54530549,-4.243853569,-1.303882241,-0.245348275,2.754204039,5397.013672,0.867683893
-7.848533154,0.102344096,-1.909706235,-0.35757792,-1.061164021,1.003663659,5.677475452,-4.063905239,-4.53573513,-1.400721073,-2.584782362,-1.331772566,-0.588991582,1.18876531,749.9538574,0.100269115
-6.344391346,2.561818838,2.28709197,1.794025421,0.171784401,4.795983791,6.995420933,-2.901665449,-1.939789772,-1.405612946,-2.120289087,-2.019212484,0.936627746,2.599197167,4742.537109,0.161956704
-7.952996731,-0.8693344,0.435191542,1.18551302,-0.431224823,2.199780941,2.122158527,-3.2785604,-3.518788815,-3.630651474,-3.125594616,-1.57183218,-0.700227439,1.31722462,1585.833618,0.135519689
-7.632452011,3.265799761,2.242566109,0.540978909,-1.818035007,6.308102608,1.563355088,-2.768085003,-3.027364254,-2.231884241,-2.547098637,-1.259719491,-0.786243677,1.548187964,1197.680908,0.206179506
-7.96807766,3.067496777,4.883426189,-0.492133856,1.151642799,2.424823046,1.116597652,-3.604884624,-1.694501638,-2.856099367,-4.22414875,-1.53175962,-0.992105484,5.363965229,17821.7168,1.000000006
-6.71070385,4.278748035,-0.440256149,1.315186739,1.713521957,1.457539678,5.448879242,-2.497830868,-4.611909389,-1.425843,-4.906928539,-2.534929752,-0.512253165,2.149797036,3479.164551,0.035777128
-6.114683628,4.97162199,2.089703083,-0.867584705,-1.883627057,5.283109665,6.527278423,-2.499548197,-1.155841351,-1.284259081,-3.957005501,-1.325343847,-0.491741478,1.447272164,2137.059082,0.762086934
-7.198379993,-1.521920681,3.938525915,0.750521421,0.814201593,6.990000248,2.015398502,-2.922152281,-4.551200867,-3.970309019,-3.309408665,-2.701256752,-0.590133309,1.962550016,1827.367676,0.009650683
-7.075115204,-1.272533417,-1.042217374,0.841821909,-0.135637999,4.058481693,1.371426702,-3.414484739,-3.219469309,-4.353446484,-2.477123022,-2.546216488,-0.392673314,1.282917278,773.0780029,0.006666517
-6.85205698,2.40805769,-1.496886373,-1.914466858,-1.694380999,2.585967064,3.525862217,-4.453239918,-2.342684031,-4.795445919,-2.305258512,-1.85364902,-0.318647385,1.484239153,6392.738281,0.2843611
-6.912149429,-1.221029162,-1.212572575,-0.578200698,1.241023064,6.357532501,1.034141421,-3.199509621,-4.448912621,-2.932125568,-3.979881048,-1.644493341,-0.528249025,1.664847501,796.112854,0.054475522
-6.774130821,4.706514359,-1.775844812,-0.897269487,0.783101797,5.087081909,4.336662769,-2.927123785,-2.915239573,-4.519407272,-3.142035007,-2.481617451,-0.702619374,1.096367552,578.5734863,0.005460119
-7.08136797,-0.976506352,-1.879786134,-1.522475958,-0.885165691,4.537811279,6.56627655,-4.938424587,-4.587937355,-2.162176132,-2.804900885,-1.679731488,-0.660396636,1.067541067,530.2365723,0.030561483
-6.991660118,-0.451681852,-1.932058811,-1.19487226,-0.286302567,2.922709942,2.32937789,-4.906051636,-1.073807478,-1.862807751,-4.308935165,-1.851278305,-0.523023784,1.367448605,1033.407593,0.061489677
-6.390638828,0.228230238,0.875882149,-0.187270641,-1.317179203,1.044518352,5.254591942,-2.059123993,-1.781564474,-4.843592644,-4.590537548,-2.124723434,-0.040810347,1.486700375,6322.647461,0.207458204
-6.154940605,-1.736393213,1.494532824,-0.609255314,-1.180477262,1.505504727,4.392977238,-3.5440979,-4.310791016,-3.215048313,-4.42164135,-1.99506855,-0.118060589,1.456844205,1578.017822,0.071813381
-6.914909363,1.527065873,4.464853287,1.845701933,-1.3366009,3.407213688,6.839689732,-2.339968443,-4.320698261,-3.421840191,-4.980747223,-1.501618981,-0.63399291,1.297898587,1510.482666,0.160804605
-7.781101227,3.707993984,-0.784816563,-1.543050528,-0.375551701,3.302552223,4.726766586,-4.588804722,-2.8482759,-2.893666744,-4.361920357,-1.774928093,0.038866639,1.35598621,1596.491943,0.075035191
-7.26280117,0.239319235,3.640336514,-0.755212426,-1.513215899,3.351977825,6.284209728,-3.135658503,-2.106987,-1.446984768,-3.903316021,-2.173335075,0.872935295,1.732388505,7703.09375,0.955505913
-6.695130348,-1.29900825,1.447783113,-1.518487453,0.77293539,1.041114569,5.58864975,-2.492589235,-4.16872263,-4.50671196,-3.770232201,-1.737523437,0.33119297,1.255426975,1131.797485,0.055151379
-6.910068989,2.267883062,0.931132436,0.046476841,-0.159281969,1.888893485,6.499997139,-2.40502286,-4.146943092,-4.617389679,-3.639165401,-2.979610205,-0.305962801,1.445739037,1520.483276,0.004660821
-6.973487854,0.897123814,4.399657249,-1.615530014,1.449120998,6.888162136,1.956718445,-2.708899498,-3.407524109,-1.590404034,-2.314454317,-2.862123728,0.895469666,1.95808878,24271.68359,0.420555419
-6.464232445,1.537310839,-1.679696083,-0.046454977,1.024400353,6.020863533,3.601839066,-2.246818542,-3.747202873,-1.573047876,-4.097632408,-2.567336559,0.898091495,1.275787445,1026.068604,0.007842219
-6.803002357,3.957274199,-1.623312354,-1.446692467,0.510931313,4.054628849,4.508681774,-3.661657572,-3.072444916,-4.168658733,-3.011431694,-2.403430939,-0.542925596,1.082798664,590.5999146,0.006499982
-6.132013321,2.859582901,2.009864807,-1.670121312,-1.770221472,3.998866796,5.971308708,-4.986664295,-4.005795956,-4.420221806,-3.770364046,-2.647464037,0.244917899,1.749196571,49246.38672,0.3226246
-7.175913334,4.41529417,3.84454155,-1.562173605,1.198788047,5.366119862,6.931950092,-4.234287739,-3.460936785,-1.343716264,-4.881182671,-1.843968153,0.53058672,15.63670776,1143.205688,0.043604708
-7.199555397,-1.749935389,1.920659661,-1.86552763,0.058757015,3.598410845,4.804672718,-2.70872879,-1.667346001,-1.604053974,-4.879930973,-1.196616888,0.684082985,3.866853972,3548.923828,0.933529323
-7.190646172,-1.062413812,-0.783891559,1.751332045,-0.38029328,6.331483364,2.366959095,-4.781151772,-1.226647735,-1.933170795,-2.72286725,-2.207159519,-0.272673458,1.183502037,578.3493042,0.010770118
-7.497400761,0.759983659,-0.023347057,-0.599044561,-1.830654383,2.662746191,5.603735924,-4.518762112,-4.911221504,-2.954598427,-2.780853748,-1.395272851,0.171097979,1.907107325,7013.301758,0.830380207
-7.398750782,0.724238217,-1.988983512,-1.693834901,-0.496801764,3.726466179,5.467045784,-4.267279148,-3.679526567,-2.089655399,-2.504187107,-1.939935327,-0.701882362,1.07965064,593.1685181,0.018754101
