0,1,2,3,4,5,6,7,8,9,10,11,12,MWD,Mn,conv
-7.21431309,0.106200784,4.963005245,1.542873621,0.496735811,2.311687291,4.939119697,-3.623331457,-1.771947622,-1.403278112,-3.376495183,-1.381606221,0.28211391,1.871399468,2498.810547,0.678073585
-6.047103286,4.294982612,4.495271325,-1.903712489,0.840722322,1.862211466,1.6010129,-2.523703277,-1.912732363,-3.243412256,-4.269678921,-2.577409267,0.431199193,3.167300783,21845.07422,1
-7.635732979,2.563241124,2.053649604,0.419420481,0.254449606,5.93306911,1.864518344,-4.073679268,-2.384832144,-4.585246712,-4.353285924,-1.587239742,-0.348548472,2.037519534,1426.585693,0.214090005
-7.562281907,-1.754597709,-0.275113538,-1.28573066,-1.588388145,3.263732016,6.789363623,-2.464634776,-1.634254932,-1.906904459,-3.652047276,-2.421910763,-0.087198853,1.870667691,1438.284058,0.042545401
-6.25666976,1.880144715,0.447829306,-1.779701605,0.430365086,1.878493279,6.678840876,-2.18954134,-1.442754984,-4.083643854,-4.013002247,-1.450074077,-0.053287566,1.101042824,285.5259399,0.058874801
-6.315366268,2.168663919,4.99972713,0.841017008,1.697215796,2.607276917,2.202073097,-3.42377001,-3.556970954,-3.604854584,-4.76847744,-1.063712597,0.988714457,5.050423359,237912.9219,1
-7.468667924,2.999766052,-1.390086539,1.770131111,-1.817673743,5.0693506,3.540108085,-4.508003384,-1.725723505,-4.869166583,-4.194599688,-2.412901878,0.965147495,2.879948695,14007.45117,0.401809812
-7.445966542,1.294111609,2.036518455,-0.266308546,-1.379612505,3.946457744,5.326001525,-3.496952116,-2.87229228,-3.715083838,-3.535094559,-2.535883188,-0.304342449,2.01579756,9251.552734,0.170725003
-7.32000345,1.398988426,3.491247594,-0.053273916,0.885288239,5.655219793,1.514514163,-4.233721942,-2.11814189,-4.459382653,-2.473297417,-2.967185304,0.526746392,2.988442711,11109.31641,0.100272
-6.206140637,4.074096382,4.908441663,0.096803904,0.145180941,5.147104263,5.552363157,-2.954881251,-1.78104043,-4.8808662,-2.817676425,-1.246944666,-0.584061682,1.99809899,1370.798218,0.475088
-7.106435597,4.926343441,2.23367542,-1.88273751,1.480321407,5.608937383,3.65598613,-4.900250446,-2.668154001,-4.446345747,-2.303059936,-2.212049127,0.582630157,2.122865205,7684.828125,0.410798699
-7.619265616,-1.975221852,-1.125339314,0.311100721,-0.252394915,2.925390124,3.981338263,-2.887233615,-2.577832937,-2.003567219,-3.151997149,-1.969385743,-0.061386824,1.613086514,468.9519043,0.030212101
-6.860215068,-1.634910729,1.415419668,1.051442623,-0.079163909,4.620445371,3.759682834,-2.324262083,-3.775053024,-4.172321141,-2.501119077,-1.390829206,-0.81737566,1.490265962,293.2875366,0.068839602
-7.046845675,4.954427361,0.413199842,-1.669667631,-0.198318005,3.318726957,4.198951244,-3.8366023,-1.644751787,-3.866895318,-3.904737204,-1.25413847,0.209174395,1.854447273,1312.39563,0.472052097
-7.360522687,-1.560183264,1.141108483,-0.655402899,0.070911169,2.286816329,6.11394763,-4.139969349,-3.763381004,-3.914132833,-3.561927825,-1.792750716,-0.79683359,1.371869474,362.8896179,0.032417402
-7.368764937,-1.554545619,4.628688097,-1.734813541,-1.338588178,6.403812885,1.782574445,-3.506826133,-1.833230734,-1.995829821,-2.023189306,-2.8991713,0.886035323,2.050686144,2962.799805,0.035491101
-7.32504189,2.971454322,3.273221076,-0.591362953,-0.307064176,2.480694979,2.441394985,-2.361722887,-1.892211437,-4.392571509,-4.65904025,-2.039364994,-0.677172959,3.194814934,9063.020508,1
